Sno,Candidate_Ref,Duration_to_accept_offer,Notice_Period,Offered_Band,Percent_hike_expected_in_CTC,Percent_hike_offered_in_CTC,Percent_difference_CTC,Joining_Bonus,Candidate_relocate_actual,Gender,Candidate_Source,Rex_in_Yrs,Location_ID,Postal_Code,Age,LOB_Id,Domicile_Id,Derived_Variable,DOJ_Extended_Binary
1,2110407,-0.2880438389517031,-0.4181928526960331,2,-2.1705479302101947,-0.7625010900262518,2.265916406980473,,,0,0,1.083829353697082,0,-1.3991732436784694,0.9981692164475208,-0.9940158721858652,D6,-0.7062366916477363,1
2,2112635,-0.1330662347544593,-0.4181928526960331,2,0.2059667136622625,7.746165409907838,9.259415978951374,,,1,2,1.4763820026403174,1,0.8129258088796832,0.9981692164475208,-0.5236011423330816,D9,-0.5512590874504925,0
3,2112838,-0.7142322504941233,0.2569049057391458,2,-0.0344040286760166,0.060524661890199,0.0802565582516353,,,1,0,-0.0938285931326243,0,-1.3991732436784694,-0.7110358215772994,-0.5236011423330816,D10,-0.4573273447549775,0
4,2115021,0.176888973640028,-0.4181928526960331,2,-0.0344040286760166,0.060524661890199,0.0802565582516353,,,1,2,-0.0938285931326243,0,-1.3991732436784694,0.9981692164475208,-0.5236011423330816,D3,-0.241303879056005,0
5,2115125,-0.7917210525927452,3.63239369791504,2,-0.0427968618582191,0.0535921673491238,0.0802565582516353,,,1,2,0.6912767047538465,0,-1.3991732436784694,0.9981692164475208,-0.5236011423330816,D21,2.840672645322295,1
6,2117167,-0.1718106358037703,-0.4181928526960331,1,-0.0347397420033049,0.0602473621085559,0.0802565582516353,,,1,2,-0.8789338910190952,0,-1.3991732436784694,0.9981692164475208,-0.5236011423330816,D24,-0.5900034884998034,1
7,2119124,0.6030773851824484,-0.4181928526960331,2,-0.412417235202417,-0.2517148922398292,0.0802565582516353,,,1,2,1.083829353697082,0,-1.3991732436784694,0.5098249198690006,-0.5236011423330816,D23,0.1848845324864152,1
9,2127572,-0.2105550368530812,-1.768388369566391,1,-2.144026577354435,-1.6820271659544697,0.0802565582516353,,,0,1,1.4763820026403174,0,-1.3991732436784694,0.9981692164475208,-0.053186412480298,D6,-1.978943406419472,1
11,2138169,-0.7917210525927452,-0.4181928526960331,1,-2.218554936012393,-1.7435877174792176,0.0802565582516353,,,0,2,-0.4863812420758598,2,-1.838542755460678,-0.9552079698665594,0.4172283173724854,D5,-1.2099139052887784,0
12,2143362,-0.5979990473461906,-0.4181928526960331,1,6.584519932136156,4.973167593477747,-0.2195959828245561,,,1,2,-0.4863812420758598,1,0.8129258088796832,0.9981692164475208,0.887643047225269,D23,-1.0161919000422237,0
13,2151180,3.818862672275256,-0.4181928526960331,2,-1.2960147126246953,-2.8059231809535854,-3.106951573935774,,,1,2,-0.4863812420758598,0,-1.3991732436784694,0.9981692164475208,-0.5236011423330816,D6,3.4006698195792224,0
